abase,(v)降低自己、使卑下
corporeal,(adj)身體的、物質的
corpulent,(adj)肥胖的
incorporate,(v)併入、進入in(進入) + corpor(團體) + ate
incorporeal,(adj)無實體的、非物質的
chromatic,(adj)彩色的
cosmic,(adj)宇宙的
cosmopolitan,(adj)世界性的、國際性的
cosmos,(n)宇宙
autocracy,(n)獨裁政府
autocrat,(n)獨裁者
gerontocracy,(n)老人統治的政府;geront(老人) + cracy(統治)
gerontology,(n)老人病學、老人學
gynaecocracy,(n)婦女當政;gynaeco(女人) + cracy(統治)
idiosyncrasy,(n)氣質、習性;idio(個體的、獨特的) + syn + cracy(統治)
idiosyncratic,(adj)有氣質的、有特性的
plutocracy,(n)財閥統治的政治
technocrat,(n)技術專家政治論者
theocracy,(n)神權政治、僧侶政治
accrete,(v)逐漸增加、連生
accrue,(v)(利息)增大、增多
crescendo,(n)(音樂)漸強;cre(增加) + scend(爬) + o
miscreant,(n)惡棍、歹徒;mis(壞) + crea(做) + nt
procreate,(v)生育(子女)、產生、製造
accredit,(n)相信、認可
credence,(n)相信、信任
credo,(n)(宗教)信條、信條的伴奏曲
credulous,(adj)輕信的、易信的
discredit,(v)使丟臉、敗壞..的名聲
incredulity,(n)不輕信、不相信、懷疑
decrepit,(adj)衰老的、破舊的
discrepancy,(n)不同、矛盾
discrepant,(adj)差別的
discreet,(adj)謹慎的、慎重的、考慮周到的
discrete,(adj)個別的、不連續的
discretion,(n)謹慎、斟酌
discretionary,(adj)任意的、自由決定的
excrete,(v)排泄、分泌
indiscretion,(n)輕率、不慎重
secrete,(v)分泌、隱藏
incriminate,(v)暗示...有罪、牽連
indiscriminate,(adj)不加區別的、無差別的
hypocrite,(n)偽善者、偽君子;hypo(在下面) + crit(判斷) + e
hypocrisy,(n)偽善、虛偽
hypocritical,(adj)偽善的、虛偽的
crusade,(n)十字軍、聖戰
excruciate,(v)施酷刑、拷問、折磨;ex(完全地) + cruc(十字架) + iate
apocryphal,(adj)可疑的、杜撰的
crypt,(n)地下室、地窖
cryptic,(adj)難以理解的、秘密的
incubate,(v)孵化、孵卵
incubus,(n)惡夢、夢魘般的精神壓力
culpable,(adj)有罪的、該受譴責的
culprit,(n)禍端、犯罪者
exculpate,(v)開脫、申明無罪;ex(出) + culp(罪行) + ate
inculpate,(v)連累、控告、歸咎於
cult,(n)膜拜、狂熱崇拜、迷信
occult,(adj)難以理解的、奧秘的
horticulture,(n)園藝、園藝術
inculcate,(v)諄諄教誨、灌輸
cumber,(v)拖累、妨礙
cumbersome,(adj)笨重的、難處理的
encumber,(v)妨礙、拖累
incumbent,(adj)負有職責的、義不容辭的
recumbent,(adj)側臥的、休息的
succumb,(v)屈服、承認失敗；病死、生病
unencumbered,(adj)不受妨礙的、沒有負擔的
cumulus,(n)積雲、堆積
covet,(v)貪求、覬覦
preoccupation,(n)全神貫注、使人專心
recuperate,(v)恢復、復原
concur,(v)意見相同、一致;con(共同) + cur(跑)
concurrent,(adj)併發的、同時發生的
cursive,(adj)草書的
cursory,(adj)粗略的、草率的
discourse,(n)演講、論述
discursive,(adj)散漫的、無層次的
excursion,(n)遠足、短途旅行
excursive,(adj)離題的、隨意的
incur,(v)招致、惹起
incursion,(n)侵略、入侵
incursive,(adj)侵略的、入侵的
precursor,(n)先驅、先兆
procure,(v)取得、獲得;pre(向前) + cur(跑) + e
recourse,(n)求助、依靠;re(反) + cour(跑) ->跑回來求助
succor,(v)救助、援助
scurry,(v)急跑、疾行
recusant,(adj)不服從的
concussion,(n)腦震盪、強烈震動
percussion,(n)打、敲、敲擊樂器
repercussion,(n)反響、影響、回響
cyclical,(adj)週期的、輪轉的、循環的
cyclone,(n)氣旋、颶風
cynicism,(n)憤世嫉俗、犬儒主義
cynic,(n)憤世嫉俗的人、自私者
cynical,(adj)憤世嫉俗的
cynosure,(n)眾人矚目的焦點
dainty,(adj)輕巧的、精緻的
disdain,(n)輕蔑、鄙視;dis(反) + dain(高貴的);[類]scorn; despise; spurn;[反]respect; admire; praise
dignitary,(n)顯要、貴人
indignant,(adj)憤怒的、憤慨的
indignity,(n)侮辱、輕蔑
indemnify,(v)賠償、償付
decorous,(adj)合宜的、高雅的
decorum,(n)端莊、彬彬有禮、合宜
indecorous,(adj)不禮貌的、不得體的
deleterious,(adj)(對身體)有害的、有毒的
demagogue,(n)蠱惑民心的政客、煽動者
demotic,(adj)大眾的、通俗的
endemic,(adj)(疾病等)地方性的
epidemic,(adj)(疾病)傳染性的、流行性的
pandemic,(adj)(疾病)全國流行性的
pandemonium,(n)喧囂、大混亂;pan(全部) + dem(人民)
dermatologist,(n)皮膚學者、皮膚科醫生
epidermis,(n)表皮、外皮
hypodermic,(adj)皮下注射的
denture,(n)一副假牙
indent,(v)切割成鋸齒狀
indented,(adj)鋸齒狀的、高低不平的
indenture,(v)簽訂契約、合同
ambidextrous,(adj)雙手靈巧的、十分靈巧的;ambi(二) + dextr(右的) + ous
dexterity,(n)純熟、靈巧
dexterous,(adj)靈巧的、熟練的
diurnal,(adj)白晝的、白天的
nocturnal,(adj)夜晚的、夜間發生的
quotidian,(adj)日常的、平常的
dichotomy,(n)二分法、矛盾
dilatory,(adj)慢吞吞的、磨蹭的;di(兩) + lat(放) + ory
divagate,(v)離題、漂泊
dubious,(adj)有問題的
duplicity,(n)欺騙行為
abdicate,(v)正式放棄(權力)、退位、辭職;ab(離開) + dic(命令) + act
dictate,(v)口述、命令
edict,(n)命令、法令
indict,(v)控訴、起訴
malediction,(n)詛咒、壞話;male(壞) + dict(說話) ion
predicament,(n)困境、窘境;pre(預先) + dic(命令) ament
valediction,(n)告別演說;vale(告別) + dic(說) +ion
valedictory,(adj)告別的、離別的
verdict,(n)判決、決定;ver(真實) + dict(說)
didactic,(adj)說教的、教訓的
docile,(adj)馴服的、易駕馭的
doctrinaire,(adj)教條的、迂腐的
doctrine,(n)教條、主義
indoctrinate,(v)教導、灌輸思想
condole,(v)哀悼、同情
condolence,(n)弔唁、慰問;[類]sympathy
condolent,(adj)弔慰的
indolence,(n)懶散、懶惰;[類]lazy
domineer,(n)跋扈、作威作福
predominant,(adj)佔優勢的、佔支配地位的
condone,(v)原諒、寬恕
dormancy,(n)休眠狀態
dormant,(adj)冬眠的、靜止的
dorsal,(adj)背部的、背側的
endorse,(v)背書
dogma,(n)教條、教義
dogmatism,(n)教條主義
heterodox,(adj)異端的、非正統的
paradox,(n)悖論、似是而非的議論、矛盾
orthodox,(adj)正統的、傳統的
adroit,(adj)靈巧的、熟練的;[類]skillful; clever
maladroit,(adj)笨拙的
aerodrome,(n)飛機場、航空站
abduct,(v)誘拐、綁架;ab(離開) + duct(引導)
adduce,(v)引用、舉證
conducive,(adj)有助的、有益的
conduit,(n)引水道、水管
deduce,(v)演繹、推斷
deduct,(v)減除、扣除
duct,(n)輸送管、導管
ductile,(adj)易拉長的、變形的
induct,(v)使就職、入伍
induction,(n)就職儀式、就任
seductive,(adj)誘惑的、引人注意的
traduce,(v)中傷、誹謗
viaduct,(n)高架橋
endue,(v)賦予(才能)
subdue,(v)征服、壓制
subdued,(adj)被制服的、順從的
duress,(n)強迫的、脅迫
indurate,(v)使硬化、堅硬
obdurate,(adj)固執的、頑固的
dynamo,(n)發電機、電動機
edible,(adj)可以吃的、食用的
exempt,(v)免除、豁免;ex(出) + empt(拿、買)
peremptory,(adj)專橫的、不容反抗的;per(完全) + empt(買)
preempt,(v)取代、以先買權取得;pre(預先) + empt(買)
egalitarian,(n)公平主義
equable,(adj)穩定的、不變的
equanimity,(n)鎮定、沉著
equestrian,(adj)騎馬的、騎術的
equine,(adj)馬的、像馬的
equity,(n)公平、公正
equivocal,(adj)模稜兩可的、不明確的;[類]ambiguous
unequivocal,(adj)毫不含糊的、明確的
equivocate,(v)模稜兩可的說、說謊
equivocator,(n)說話模稜兩可的人
iniquitous,(adj)極不公正的、邪惡的
inquity,(n)邪惡、不公正
aberrant,(adj)越軌的、異常的
errand,(n)差事、差使
errant,(adj)錯誤的、去不正當地方的
erratic,(adj)反覆無常的、古怪的
erroneous,(adj)錯誤的、不正確的
unerringly,(adv)無過失地
exert,(v)運用(力量)
inert,(adj)行動遲鈍的、無生命的
inertia,(n)慣性、慣量
quintessence,(n)精華、典型
quintessential,(adj)精髓的、底行的
anesthetic,(adj)麻醉的、麻木的;an(無) + esthe(感覺) tic
ethos,(n)道德風貌、思潮
coeval,(adj)同年代的;co(共同) + ev(時代) + al
affable,(adj)和藹可親的、容易親近的;[類]polite and friendly
blasphemy,(n)褻瀆、褻瀆的言詞
defamatory,(adj)破壞名譽的、誹謗的
fable,(n)寓言、傳說
ineffable,(adj)妙不可言的
efficacious,(adj)有效的、靈驗的
facile,(adj)容易做的、膚淺的
facsimile,(n)複製本、摹本;fac(做) + simil(相同)
faction,(n)派別、宗派、小集團
factitious,(adj)人為的、不真實的
factotum,(n)雜工、打雜
malefactor,(n)罪犯、犯罪者;male(壞) + fact(做) + or
olfaction,(n)嗅覺;ol(氣味、聞) + fact(做) + ion
deface,(v)毀壞..的外貌、損壞
efface,(v)擦掉、抹去
facade,(n)建築物的正面、外表
facet,(n)(寶石的)小平面、側面
facetious,(adj)輕浮的、愛開玩笑的;face(臉) + ous(多..的)
ineffaceable,(adj)抹不掉的、不能取消的
multifaceted,(adj)多面向的
preface,(n)序言、緒言
self-effacement,(n)自謙、自我輕視
fallacious,(adj)欺騙的、謬誤的
fallacy,(n)謬誤、錯誤
fallability,(n)易出錯
fallible,(adj)易犯錯的
pitfall,(n)陷阱、圈套
windfall,(n)被風吹落的果實
fanatic,(n)狂熱者、盲信者
fancied,(adj)空想的、虛構的
fanciful,(adj)幻想的、奇特的
fantasia,(n)幻想曲、組合樂曲
fanfare,(n)誇耀的遊行、嘹亮的喇叭聲
fascia,(n)飾帶、招牌；(汽車的)儀表板
feasible,(adj)可行的、實行的
malfeasance,(n)不法行為、瀆職;mal(壞) + feas(做) + ance
misfeasance,(n)不當行為、過失;mis(錯) + feas(做) + ance
affectation,(n)做作、假設
affected,(adj)不自然的、假裝的
disaffect,(v)使不滿、不忠
disinfect,(v)消毒、殺菌
disinfectant,(n)消毒劑
unaffected,(adj)自然的、不矯揉做作的
counterfeit,(adj)偽造的、仿造的;counter(相反) + feit(做)
forfeit,(v)(因違規)喪失、被罰沒收
forfeiture,(n)(財產)沒收、(權利)喪失
surfeit,(n)過量、過度
felicific,(adj)產生幸福的、帶來幸福的
felicitate,(v)祝賀、慶祝
felicitous,(adj)得體的、適當的
infelicitous,(adj)不幸的、不適當的
infelicity,(n)不幸、不適當
effeminate,(adj)缺乏勇氣的、柔弱的
fencing,(n)柵欄、籬笆；劍術、擊劍法
circumference,(n)周圍、圓周、周長
confer,(v)討論、商談、贈與;con(共同) + fer(帶來)
conifer,(n)針葉樹、松柏科植物
defer,(v)推遲、聽從、順從
deferential,(adj)尊敬的
deference,(n)尊敬;[類]respect
infer,(v)推斷、推定
peripheral,(adj)外圍的、周邊的
preferably,(adv)更可取地、更好地;pre(前) + fer(拿來) + ably
proffer,(v)獻出、贈送、建議;pro(向前) + ffer(帶來)
referendum,(n)公民投票
odoriferous,(adj)有氣味的;odor(氣味) + i + fer(帶來) +ous
saliferous,(adj)含鹽的、產鹽的
ferromagnetic,(adj)磁鐵的
ferrous,(adj)含鐵的
effervesce,(v)冒泡、熱情洋溢
ferment,(v)使發酵、醞釀
fermentation,(n)發酵、騷動、動亂
fervent,(adj)炙熱的、熱情的
fervor,(n)熱情、熱心
perfervid,(adj)非常熱心的;per(完全) + ferv(熱) + id
confess,(v)公認、承認
artifice,(v)奸計、詭計;arti(技巧) + fic(做) + e
deficit,(n)赤字、不足額
efficacy,(n)功效、有效性
feckless,(adj)無效性的、無能的
fictitious,(adj)假的、虛構的
maleficent,(adj)有害的、犯罪的;male(壞) + fic(做) + ent
munificence,(n)慷慨、寬宏大量;muni(公共) + fic(做) +ence
munificent,(adj)慷慨地、豐厚的
ramification,(n)後果、影響
sufice,(v)足夠、(食物)滿足
affidavit,(n)宣誓書、口供書
confidant,(n)心腹朋友、知己、密友
confide,(v)透露、吐露
diffident,(adj)缺乏自信的、羞怯的
fealty,(n)效忠、忠貞
fidelity,(n)忠實、忠誠
perfidious,(adj)不誠實的、背信棄義的;per(遠離) + fid(相信) + ious
perfidy,(v)不忠、背叛;per(完全) + fid(相信) + y
configuration,(n)結構、配置、輪廓
disfigure,(v)損壞..的外形、使難看
effigy,(n)肖象
figurative,(adj)比喻的、象徵的
figurehead,(n)有名無實的首腦
figurine,(n)小塑像、雕像
prefigure,(v)預示、預想
transfigure,(v)使變形、改觀
affiliate,(v)使緊密聯繫、使隸屬於
affiliated,(adj)附屬的
affiliation,(n)聯繫、聯合
filial,(adj)子女的、孝順的
infiltrate,(v)滲透、滲入
affinity,(n)喜好、本性、傾向
confine,(v)限制、使侷限
infinitesimal,(adj)極微小的
finesse,(n)非凡的技巧、技術
affirm,(v)確認、肯定
